Spacious double bedroom right in Eixample(4-1),500 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
+++ PRECIOSA PROPIEDAD A ESTRENAR SOLO CHICAS +++,439 €/mes,HABITACIÓ PRIVADA · 7 COMPANYS DE PIS
HAB. PISO LUMINOSO - GASTOS INCLUIDOS,300 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
HAB. CONFORTABLE EN ALQUILER X MESES,275 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Habaitacion en San Joan #H5,350 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Habitación En Calle Ample h3,320 €/mes,HABITACIÓ PRIVADA · 6 COMPANYS DE PIS
"hab sol, balcon, junto monumental,5 min Sagrada Familia",425 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
habitacion doble para chica en monumental,370 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
BRIGHT DOUBLE ROOM IN EIXAMPLE - NO AGENCY,620 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
SINGLE ROOM WITH KEY/ HABITACION INDIVIDUAL CON LLAVE,350 €/mes,HABITACIÓ PRIVADA · 5 COMPANYS DE PIS
DOUBLE ROOM WITH BALCONY / HABITACION DOBLE CON BALCON,420 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
"Peq nevera, microhondas, ventana interior grande.",350 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
"Estudio con, Baño, Cocina y Terraza privada!",750 €/mes,HABITACIÓ PRIVADA · 5 COMPANYS DE PIS
Gastos incluidos. Amplia habitación centro ciudad,650 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Habitación individual en centro,300 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Be part of the family! Happy Casa 😁,550 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Your own vintage studio space in the heart of the city,885 €/mes,ALLOTJAMENT SENCER · 45 M²
Cómoda Habitación y Hogar Tranquilo.,400 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Habitacion con baño propio en Gracia,400 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Fully furnished single room in a Luxury apartment,430 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Big room with Balcony,450 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Habitacion individual tranquila,280 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
habitacion con baño propio en piso reformado,300 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Huge Double-bed Ensuite at the Best Place in Gracia,700 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
"+++ PRECIOSA HABITACION CON BALCON, CASA REFORMADA +++",400 €/mes,HABITACIÓ PRIVADA · 6 COMPANYS DE PIS
Habitación doble en Poble Sec,400 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
++++ AMPLIA HABITACION CON BALCON EXTERIOR +++,415 €/mes,HABITACIÓ PRIVADA · 8 COMPANYS DE PIS
Hab. amplia y cómoda /Cozy double bedroom - en Eixample,450 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Single room International flat in Sagrada Familia,295 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Agradable Habitación Gastos incluidos desde 1/4,340 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
"HABITACIÓN EN EL GÓTICO, PARA UNA CHICA!!!",470 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Habitación con cama doble en estupendo co-living,490 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
habitación en 5 piso con terraza,600 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Habitación individual,300 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Habitación a lado de la playa (hab GRANDE),440 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Big double room in completely renovated apartment,5̶0̶0̶ ̶€̶ 460 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Habitacion Cama Doble / Doble Room,390 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
huge bedroom for rent with Balcony,550 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Cozy & Bright / Doble Bed Room in Luxury Apartment.,370 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Habitación individual. Baño privado. Terraza y Jardín,480 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
hab individual luminosa. 🥰,360 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
habitacion comoda en el centro de barcelona,450 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
noce room in the gothico,350 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
room in the luxury apartment with a private toilet,575 €/mes,HABITACIÓ PRIVADA · 10 COMPANYS DE PIS
Double Room 1 person - El Carmel,380 €/mes,HABITACIÓ PRIVADA · 1 COMPANY DE PIS
NICE BEDROOM AVAILABLE FOR GIRLS ONLY,450 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Hab en el centro. Libre para finales de Octubre :),300 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
ROOM IN INTERNATIONAL STUDENTS SUPER NICE FLAT. PLAZA C,295 €/mes,HABITACIÓ PRIVADA · 10 COMPANYS DE PIS
ROOM WITH BALCONY IN SANT ANTONI,450 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
bright penthouse in the heart of the eixample.,500 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
habitación individual gracia eixample,250 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
HABITACION EN BALMES (H7),350 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Habitacion 2 en Eixample,390 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
HABITACION H3 EN BALMES DISPONIBLE,350 €/mes,HABITACIÓ PRIVADA · 6 COMPANYS DE PIS
"Centrica, con balcón propio!",450 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
APTO CHICAS-HABITACIÓN EN GRANDE NUEVO CERCA BORN-PLAYA,350 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
GRAN HABITACIÓN EXTERIOR LUZ NATURAL EN AMPLIO APT.NUEV,485 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
GRAN HABITACIÓN EXTERIOR PISO AMPLIO SOL CHICAS CENTRO,550 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
"LOVELY DOUBLE ROOM,NO COUPLE,STEEP BEACH,RAMBLAS,GOTIC",490 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
sunny room close to the beach,260 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Ático con terraza + espacio co-working,1.199 €/mes,ALLOTJAMENT SENCER · 75 M²
