"22m* Single Apartment, 9th floor View over east Berlin",320 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Family Apartments in Friedrichshain with Anmeldung,1.150 €/mes,ALLOTJAMENT SENCER · 60 M²
Furnished Studio in Berlin Mitte with Balcony,1.000 €/mes,ALLOTJAMENT SENCER · 25 M²
Berlin gemütliche 2-Zi Whg in Grunewald,2.250 €/mes,ALLOTJAMENT SENCER · 50 M²
nice room in amazing flat 150 qm 4 room flat,5̶9̶0̶ ̶€̶ 580 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Private room with own bathroom only for men,500 €/mes,HABITACIÓ PRIVADA · 1 COMPANY DE PIS
"nice, big and bright room in friedrichshain",580 €/mes,HABITACIÓ PRIVADA · 1 COMPANY DE PIS
"Bright room in modern 3-room flat, all bills included!",650 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Studio with balcony in Tempelhof-Schöneberg,949 €/mes,ALLOTJAMENT SENCER · 30 M²
Spacious room in beautiful 2-bedroom flat in Moabit!,700 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Spacious room in beautiful flat with living room!,7̶5̶0̶ ̶€̶ 650 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Cozy room with balcony in beautiful flat in Wedding!,8̶5̶0̶ ̶€̶ 700 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
"Cozy studio flat, fully-furnished and w/ bills included",800 €/mes,ALLOTJAMENT SENCER · 24 M²
Wohnen im Grünen,8̶0̶0̶ ̶€̶ 700 €/mes,ALLOTJAMENT SENCER · 65 M²
schönes Zimmer am Halensee Kudamm,550 €/mes,HABITACIÓ PRIVADA · 1 COMPANY DE PIS
Mi casa es tu casa en Berlin,550 €/mes,HABITACIÓ PRIVADA · 1 COMPANY DE PIS
Neon Wood Mitte-Wedding - Deluxe Balcony E7,965 €/mes,ALLOTJAMENT SENCER · 23 M²
Neon Wood Mitte-Wedding - Deluxe Balcony E6,945 €/mes,ALLOTJAMENT SENCER · 23 M²
Neon Wood Mitte-Wedding - Deluxe Balcony E5,925 €/mes,ALLOTJAMENT SENCER · 23 M²
Neon Wood Mitte-Wedding - Deluxe Balcony E4,905 €/mes,ALLOTJAMENT SENCER · 23 M²
Neon Wood Mitte-Wedding - Deluxe Balcony E3,885 €/mes,ALLOTJAMENT SENCER · 23 M²
Neon Wood Mitte-Wedding - Deluxe Balcony E2,865 €/mes,ALLOTJAMENT SENCER · 23 M²
Neon Wood Mitte-Wedding - Deluxe E7,930 €/mes,ALLOTJAMENT SENCER · 21 M²
Neon Wood Mitte-Wedding - Deluxe E6,910 €/mes,ALLOTJAMENT SENCER · 21 M²
Neon Wood Mitte-Wedding - Deluxe E5,890 €/mes,ALLOTJAMENT SENCER · 21 M²
Neon Wood Mitte-Wedding - Deluxe E4,870 €/mes,ALLOTJAMENT SENCER · 21 M²
Neon Wood Mitte-Wedding - Deluxe E3,850 €/mes,ALLOTJAMENT SENCER · 21 M²
Neon Wood Mitte-Wedding - Deluxe E2,830 €/mes,ALLOTJAMENT SENCER · 21 M²
Neon Wood Mitte-Wedding - Classic Balcony E7,865 €/mes,ALLOTJAMENT SENCER · 18 M²
Neon Wood Mitte-Wedding - Classic Balcony E5,825 €/mes,ALLOTJAMENT SENCER · 18 M²
1 free room in 5 rooms flat share,525 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Neon Wood Mitte-Wedding - Classic Balcony E4,805 €/mes,ALLOTJAMENT SENCER · 18 M²
Neon Wood Mitte-Wedding - Classic Balcony E3,785 €/mes,ALLOTJAMENT SENCER · 18 M²
Neon Wood Mitte-Wedding - Classic Balcony E2,765 €/mes,ALLOTJAMENT SENCER · 18 M²
Neon Wood Mitte-Wedding - Classic E7,830 €/mes,ALLOTJAMENT SENCER · 17 M²
Neon Wood Mitte-Wedding - Classic E6,810 €/mes,ALLOTJAMENT SENCER · 17 M²
Neon Wood Mitte-Wedding - Classic E5,790 €/mes,ALLOTJAMENT SENCER · 17 M²
Neon Wood Mitte-Wedding - Classic E4,770 €/mes,ALLOTJAMENT SENCER · 17 M²
Neon Wood Mitte-Wedding - Classic E3,750 €/mes,ALLOTJAMENT SENCER · 17 M²
Neon Wood Mitte-Wedding - Classic E2,730 €/mes,ALLOTJAMENT SENCER · 17 M²
Neon Wood Frankfurter Tor - Deluxe Balcony E5,925 €/mes,ALLOTJAMENT SENCER · 24 M²
Neon Wood Frankfurter Tor - Deluxe Balcony E3,885 €/mes,ALLOTJAMENT SENCER · 24 M²
Neon Wood Frankfurter Tor - Deluxe Balcony E2,865 €/mes,ALLOTJAMENT SENCER · 24 M²
Neon Wood Frankfurter Tor - Deluxe Balcony E1,845 €/mes,ALLOTJAMENT SENCER · 24 M²
Neon Wood Frankfurter Tor - Classic Balcony E5,825 €/mes,ALLOTJAMENT SENCER · 18 M²
Neon Wood Frankfurter Tor - Classic Balcony E4,805 €/mes,ALLOTJAMENT SENCER · 18 M²
Neon Wood Frankfurter Tor - Classic Balcony E3,785 €/mes,ALLOTJAMENT SENCER · 18 M²
Neon Wood Frankfurter Tor - Classic Balcony E2,765 €/mes,ALLOTJAMENT SENCER · 18 M²
mi casa es tu casa en Berlin,550 €/mes,HABITACIÓ PRIVADA · 1 COMPANY DE PIS
Bright private room in cozy flat in Friedrichshain!,7̶5̶0̶ ̶€̶ 700 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
