,language,age,share_flat,flatmates,animals,relationship,clean_satisfaction,clean_outsource,schedule_tool,task_rotation,tasks,shared_expenses,alone_all,use_app,feature_task,feature_expenses,feature_reports,feature_calendar,feature_shoplist,task_Buying common items,task_Cleaning bathroom/toilets,task_Cleaning kitchen,task_Cleaning living-room,task_Cleaning windows,task_Laundry,task_Throwing the garbage
0,English,25–30,Yes,3,Cats,Acquaintances,3.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Very likely,Very likely,Very likely,1,1,1,1,1,1,1
1,English,18–24,Yes,2,No pets,"Friends, Family",4.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",Buy it in turns,All together,Yes,Likely,Very likely,Very likely,Likely,Very likely,1,1,1,1,0,0,1
2,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
3,English,25–30,Yes,4,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,,1,1,1,1,1,1,1
4,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Once a month,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Neutral,Very likely,Very likely,Likely,Very likely,1,1,1,1,0,1,1
5,English,18–24,Yes,2,Cats,"Friends, Family",5.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
6,English,31–37,Yes,4,Dogs,"Friends, Family",5.0,No,We just remember,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,Yes,Unlikely,Very likely,Unlikely,Unlikely,Neutral,1,1,1,1,1,1,1
7,English,More than 37,Yes,3,No pets,Acquaintances,5.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,,1,1,1,1,1,1,1
8,English,25–30,Yes,3,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,,1,1,0,0,0,1,1
9,English,25–30,Yes,3,No pets,Acquaintances,3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows",Split the cost,Alone,Yes,Likely,Very likely,Likely,Very likely,Very likely,0,1,1,1,1,0,0
10,English,25–30,Yes,4,No pets,Other,3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen",Split the cost,Alone,Yes,Very likely,Very likely,Likely,Likely,Very likely,0,1,1,1,0,0,0
11,English,18–24,Yes,3,Dogs,"Friends, Family",1.0,No,We don't schedule our tasks,Once a month,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,All together,No,,,,,,1,0,1,1,1,0,1
12,English,18–24,Yes,3,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
13,English,18–24,Yes,5,No pets,People I met on app,4.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
14,English,25–30,Yes,5,No pets,Acquaintances,2.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
15,English,25–30,No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
16,Italian,,No,2,No pets,"Friends, Family",5.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry, Buying common items",I buy my own stuff,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Likely,1,1,1,1,1,1,0
17,English,25–30,Yes,3,No pets,People I met on app,4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Likely,Likely,Likely,1,1,1,1,0,1,1
18,English,18–24,Yes,4,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
19,English,25–30,Yes,5,No pets,People I met on app,5.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
20,English,25–30,Yes,2,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
21,English,31–37,No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
22,English,18–24,Yes,4,Dogs,"Friends, Family",4.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
23,English,25–30,Yes,3,No pets,"Friends, Family",2.0,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Likely,Very likely,Likely,Very likely,Likely,1,1,1,1,1,1,1
24,English,18–24,Yes,4,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
25,English,31–37,No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
26,English,25–30,Yes,4,Dogs,"Friends, Family",3.0,No,We just remember,Never,Throwing the garbage,I buy my own stuff,Alone,No,,,,,,0,0,0,0,0,0,1
27,Italian,31–37,No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
28,English,25–30,Yes,3,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
29,English,25–30,Yes,2,Dogs,"Friends, Family",3.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
30,English,18–24,Yes,4,Cats,"Friends, Family",4.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
31,Italian,More than 37,Yes,4,Cats,"Friends, family",4.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
32,English,25–30,Yes,3,No pets,"Friends, Family",5.0,No,We don't schedule our tasks,Once a week,Cleaning kitchen,Split the cost,All together,No,,,,,,0,0,1,0,0,0,0
33,Italian,More than 37,No,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
34,English,18–24,Yes,4,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Throwing the garbage",We don't really think about it,Alone,No,,,,,,0,1,0,0,0,0,1
35,English,25–30,Yes,2,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,,0,0,0,0,0,0,0
36,English,31–37,Yes,2,No pets,Acquaintances,2.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning kitchen",Split the cost,Alone,No,,,,,,0,1,1,0,0,0,0
