"Marca de temps","Quanti anni hai?","Condividi casa con qualcuno?","Quante persone vivono nella casa?","Ci sono degli animali in casa? Se si, quali?","Che tipo di relazione esiste con i tuoi compagni di appartamento?","Quanto sei soddisfatto con la pulizia della casa?","Esternalizzi le attivita della casa?","Che strumento utilizzi per pianificare le attivita domestiche?","Quale è la rotazione delle attività?","Di che attivitá sei responsabile in casa?","Come gestite le spese comuni? (carta igienica, prodotti di pulizia etc)","Preferisci pulire da solo o tutti insieme?","Useresti un'App per gestire le attività della casa?","Se avessi una app, quanto useresti le seguenti funzionalità? [Gestire turni di pulizia/attivita]","Se avessi una app, quanto useresti le seguenti funzionalità? [Tenere traccia delle spese comuni]","Se avessi una app, quanto useresti le seguenti funzionalità? [Ricevere reports sulla contribuzione di ogni componente della casa]","Se avessi una app, quanto useresti le seguenti funzionalità? [Avere notifiche su eventi nel calendario/ consulta del calendario]","Se avessi una app, quanto useresti le seguenti funzionalità? [Gestione della lista dei prodotti per la casa]"
"2021/01/18 8:58:50 p. m. CET","","No","2","Non ci sono","Amici, Famiglia","5","No","A memoria","Settimanale","Pulire il bagno/Toilette;Pulire il Salone/Salotto;Pulire la cucina;Pulire le finestre;Buttare la pattumiera;Lavanderia;Fare la spesa per articoli comuni","Ognuno compra le sue cose","Solo","Si","Neutrale","Neutrale","Neutrale","Neutrale","Sicuramente"
"2021/01/18 9:22:40 p. m. CET","31–37","No","","","","","","","","","","","","","","","",""
"2021/01/18 9:24:42 p. m. CET","Più di 37","Si","4","Gatto/i","Amici, Famiglia","4","Si","","","","","","","","","","",""
"2021/01/18 9:28:59 p. m. CET","Più di 37","No","","","","","","","","","","","","","","","",""
"2021/01/18 11:21:25 p. m. CET","Più di 37","No","","","","","","","","","","","","","","","",""
"2021/01/19 12:29:32 a. m. CET","Più di 37","Si","2","Non ci sono","Amici, Famiglia","4","No","Non pianifichiamo","Due volte a la settimana","Pulire il Salone/Salotto;Pulire la cucina;Fare la spesa per articoli comuni","Non ci abbiamo mai pensato","Solo","No","","","","",""
"2021/01/19 12:33:28 a. m. CET","Più di 37","Si","2","Non ci sono","Amici, Famiglia","4","Si","","","","","","","","","","",""
"2021/01/19 12:34:21 a. m. CET","Più di 37","No","","","","","","","","","","","","","","","",""
"2021/01/19 12:39:37 a. m. CET","31–37","Si","3","Gatto/i","Amici, Famiglia","5","Si","","","","","","","","","","",""
"2021/01/19 12:40:54 a. m. CET","25–30","Si","Più di 5","Non ci sono","Conoscente","2","Si","","","","","","","","","","",""
"2021/01/19 6:12:04 a. m. CET","Più di 37","No","","","","","","","","","","","","","","","",""
"2021/01/19 8:32:55 a. m. CET","Più di 37","No","","","","","","","","","","","","","","","",""
"2021/01/19 8:34:48 a. m. CET","25–30","Si","5","Non ci sono","Amici, Famiglia","2","Si","","","","","","","","","","",""
"2021/01/19 9:02:24 a. m. CET","25–30","Si","2","Gatto/i","Fidanzato","5","No","Non pianifichiamo","Settimanale","Pulire il bagno/Toilette;Pulire il Salone/Salotto;Pulire la cucina;Pulire le finestre;Lavanderia;Fare la spesa per articoli comuni","Compriamo a turno","Solo","No","","","","",""
"2021/01/19 9:13:42 a. m. CET","Più di 37","Si","2","Gatto/i","Amici, Famiglia","4","No","Non pianifichiamo","Due volte a la settimana","Pulire la cucina;Buttare la pattumiera;Lavanderia;Fare la spesa per articoli comuni","Non ci abbiamo mai pensato","Solo","Si","Neutrale","Neutrale","Neutrale","Neutrale","Neutrale"
"2021/01/19 9:48:59 a. m. CET","Più di 37","Si","2","Gatto/i","Amici, Famiglia","3","No","Non pianifichiamo","Settimanale","Pulire il bagno/Toilette;Pulire il Salone/Salotto;Pulire la cucina;Pulire le finestre;Buttare la pattumiera;Lavanderia;Fare la spesa per articoli comuni","Non ci abbiamo mai pensato","Tutti insieme","Si","Forse si","Neutrale","Per niente","Forse si","Forse si"
"2021/01/19 12:07:21 p. m. CET","31–37","Si","3","Cane/i","Uno é la mia coppia, l'altro conosciuto tramite app","4","Si","","","","","","","","","","",""
"2021/01/19 12:34:28 p. m. CET","31–37","Si","3","Non ci sono","Amici, Famiglia","3","Si","","","","","","","","","","",""
"2021/01/19 1:34:54 p. m. CET","Più di 37","Si","2","Cane/i","Partner","4","Si","","","","","","","","","","",""
"2021/01/19 1:47:46 p. m. CET","Più di 37","No","","","","","","","","","","","","","","","",""
"2021/01/19 1:53:59 p. m. CET","Più di 37","Si","2","Gatto/i","Amici, Famiglia","4","No","Non pianifichiamo","Due volte a la settimana","Pulire la cucina;Buttare la pattumiera;Lavanderia;Fare la spesa per articoli comuni","Non ci abbiamo mai pensato","Solo","Si","Neutrale","Neutrale","Neutrale","Neutrale","Neutrale"
"2021/01/19 2:07:38 p. m. CET","Più di 37","Si","3","Cane/i","Amici, Famiglia","4","Si","","","","","","","","","","",""
"2021/01/19 4:26:49 p. m. CET","Più di 37","Si","2","Gatto/i","Amici, Famiglia","4","No","Non pianifichiamo","Due volte a la settimana","Pulire la cucina;Buttare la pattumiera;Lavanderia;Fare la spesa per articoli comuni","Non ci abbiamo mai pensato","Solo","Si","Neutrale","Neutrale","Neutrale","Neutrale","Neutrale"
"2021/01/19 8:03:52 p. m. CET","Più di 37","Si","2","Gatto/i","Amici, Famiglia","4","No","Non pianifichiamo","Due volte a la settimana","Pulire la cucina;Buttare la pattumiera;Lavanderia;Fare la spesa per articoli comuni","Non ci abbiamo mai pensato","Solo","Si","Neutrale","Neutrale","Neutrale","Neutrale","Neutrale"
"2021/01/20 11:24:49 a. m. CET","18–24","Si","4","Non ci sono","Persona conosciuta attraverso di app","3","Si","","","","","","","","","","",""
