,Unnamed: 0,Unnamed: 0.1,Marca de temps,Language,How old are you?,Do you share your flat?,How many people do live in the house? ,What kind of animals live in the house?,What kind of relationship do you have with your flatmates?,How satisfied are you with the cleanliness of the house?,Do you outsource the house tasks?,Which tool do you use to schedule your tasks?,How often do you rotate the home tasks?,What kind of tasks are you responsible of?,"How do you deal with the shared expenses? (toilet paper, cleaning products, etc)",Do you rather cleaning alone or all together?,Would you use an app to manage the house tasks?,How likely you are to use this features? [Setting up tasks/shifts/house rules],How likely you are to use this features? [Tracking common expenses],How likely you are to use this features? [Receiving reports of each roommate's contribution],How likely you are to use this features? [Receiving notifications / reviewing task calendar],How likely you are to use this features? [Managing shopping list for household products]
0,0,0,18/01/2021 20:06:46,English,25–30,Yes,3,Cats,Acquaintances,3.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Very likely,Very likely,Very likely
1,1,1,18/01/2021 20:21:04,English,18–24,Yes,2,No pets,"Friends, Family",4.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",Buy it in turns,All together,Yes,Likely,Very likely,Very likely,Likely,Very likely
2,2,2,18/01/2021 20:28:36,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
3,3,3,18/01/2021 20:37:03,English,25–30,Yes,4,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
4,4,4,18/01/2021 20:38:41,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Once a month,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Neutral,Very likely,Very likely,Likely,Very likely
5,5,5,18/01/2021 20:42:02,English,18–24,Yes,2,Cats,"Friends, Family",5.0,Yes,,,,,,,,,,,
6,6,6,18/01/2021 20:42:15,English,31–37,Yes,4,Dogs,"Friends, Family",5.0,No,We just remember,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,Yes,Unlikely,Very likely,Unlikely,Unlikely,Neutral
7,7,7,18/01/2021 20:42:28,English,More than 37,Yes,3,No pets,Acquaintances,5.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
8,8,8,18/01/2021 20:47:50,English,25–30,Yes,3,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
9,9,9,18/01/2021 20:47:54,English,25–30,Yes,3,No pets,Acquaintances,3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows",Split the cost,Alone,Yes,Likely,Very likely,Likely,Very likely,Very likely
