Marca de temps,Language,How old are you?,Do you share your flat?,How many people do live in the house? ,What kind of animals live in the house?,What kind of relationship do you have with your flatmates?,How satisfied are you with the cleanliness of the house?,Do you outsource the house tasks?,Which tool do you use to schedule your tasks?,How often do you rotate the home tasks?,What kind of tasks are you responsible of?,"How do you deal with the shared expenses? (toilet paper, cleaning products, etc)",Do you rather cleaning alone or all together?,Would you use an app to manage the house tasks?,How likely you are to use this features? [Setting up tasks/shifts/house rules],How likely you are to use this features? [Tracking common expenses],How likely you are to use this features? [Receiving reports of each roommate's contribution],How likely you are to use this features? [Receiving notifications / reviewing task calendar],How likely you are to use this features? [Managing shopping list for household products]
18/01/2021 20:06:46,English,25–30,Yes,3,Cats,Acquaintances,3,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Very likely,Very likely,Very likely
18/01/2021 20:21:04,English,18–24,Yes,2,No pets,"Friends, Family",4,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",Buy it in turns,All together,Yes,Likely,Very likely,Very likely,Likely,Very likely
18/01/2021 20:28:36,English,25–30,Yes,3,No pets,"Friends, Family",3,Yes,,,,,,,,,,,
18/01/2021 20:37:03,English,25–30,Yes,4,No pets,"Friends, Family",4,No,We don't schedule our tasks,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
18/01/2021 20:38:41,English,25–30,Yes,2,No pets,"Friends, Family",4,No,We don't schedule our tasks,Once a month,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Neutral,Very likely,Very likely,Likely,Very likely
18/01/2021 20:42:02,English,18–24,Yes,2,Cats,"Friends, Family",5,Yes,,,,,,,,,,,
18/01/2021 20:42:15,English,31–37,Yes,4,Dogs,"Friends, Family",5,No,We just remember,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,Yes,Unlikely,Very likely,Unlikely,Unlikely,Neutral
18/01/2021 20:42:28,English,More than 37,Yes,3,No pets,Acquaintances,5,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
18/01/2021 20:47:50,English,25–30,Yes,3,No pets,"Friends, Family",4,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
18/01/2021 20:47:54,English,25–30,Yes,3,No pets,Acquaintances,3,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows",Split the cost,Alone,Yes,Likely,Very likely,Likely,Very likely,Very likely
18/01/2021 20:48:42,English,25–30,Yes,4,No pets,Other,3,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen",Split the cost,Alone,Yes,Very likely,Very likely,Likely,Likely,Very likely
18/01/2021 20:51:56,English,18–24,Yes,3,Dogs,"Friends, Family",1,No,We don't schedule our tasks,Once a month,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,All together,No,,,,,
18/01/2021 20:52:42,English,18–24,Yes,3,No pets,"Friends, Family",4,Yes,,,,,,,,,,,
18/01/2021 20:54:20,English,18–24,Yes,5,No pets,People I met on app,4,Yes,,,,,,,,,,,
18/01/2021 20:57:30,English,25–30,Yes,5,No pets,Acquaintances,2,Yes,,,,,,,,,,,
18/01/2021 20:58:28,English,25–30,No,,,,,,,,,,,,,,,,
18/01/2021 20:58:50,Italian,,No,2,No pets,"Friends, Family",5,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry, Buying common items",I buy my own stuff,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Likely
18/01/2021 20:59:50,English,25–30,Yes,3,No pets,People I met on app,4,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Likely,Likely,Likely
18/01/2021 21:01:08,English,18–24,Yes,4,No pets,"Friends, Family",5,Yes,,,,,,,,,,,
18/01/2021 21:03:01,English,25–30,Yes,5,No pets,People I met on app,5,Yes,,,,,,,,,,,
18/01/2021 21:03:36,English,25–30,Yes,2,No pets,"Friends, Family",5,Yes,,,,,,,,,,,
18/01/2021 21:05:50,English,31–37,No,,,,,,,,,,,,,,,,
18/01/2021 21:07:53,English,18–24,Yes,4,Dogs,"Friends, Family",4,Yes,,,,,,,,,,,
18/01/2021 21:10:16,English,25–30,Yes,3,No pets,"Friends, Family",2,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Likely,Very likely,Likely,Very likely,Likely
18/01/2021 21:13:46,English,18–24,Yes,4,No pets,"Friends, Family",5,Yes,,,,,,,,,,,
