,Unnamed: 0,language,age,share_flat,flatmates,animals,relationship,clean_satisfaction,clean_outsource,schedule_tool,task_rotation,tasks,shared_expenses,alone_all,use_app,feature_task,feature_expenses,feature_reports,feature_calendar,feature_shoplist
0,0,English,25–30,Yes,3,Cats,Acquaintances,3.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Very likely,Very likely,Very likely
1,1,English,18–24,Yes,2,No pets,"Friends, Family",4.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",Buy it in turns,All together,Yes,Likely,Very likely,Very likely,Likely,Very likely
2,2,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
3,3,English,25–30,Yes,4,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
4,4,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Once a month,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Neutral,Very likely,Very likely,Likely,Very likely
5,5,English,18–24,Yes,2,Cats,"Friends, Family",5.0,Yes,,,,,,,,,,,
6,6,English,31–37,Yes,4,Dogs,"Friends, Family",5.0,No,We just remember,Never,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,Yes,Unlikely,Very likely,Unlikely,Unlikely,Neutral
7,7,English,More than 37,Yes,3,No pets,Acquaintances,5.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
8,8,English,25–30,Yes,3,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
9,9,English,25–30,Yes,3,No pets,Acquaintances,3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows",Split the cost,Alone,Yes,Likely,Very likely,Likely,Very likely,Very likely
10,10,English,25–30,Yes,4,No pets,Acquaintances,3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen",Split the cost,Alone,Yes,Very likely,Very likely,Likely,Likely,Very likely
11,11,English,18–24,Yes,3,Dogs,"Friends, Family",1.0,No,We don't schedule our tasks,Once a month,"Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,All together,No,,,,,
12,12,English,18–24,Yes,3,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,
13,13,English,18–24,Yes,5,No pets,People I met on app,4.0,Yes,,,,,,,,,,,
14,14,English,25–30,Yes,5,No pets,Acquaintances,2.0,Yes,,,,,,,,,,,
15,15,English,25–30,No,,,,,,,,,,,,,,,,
16,16,English,25–30,Yes,3,No pets,People I met on app,4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Likely,Likely,Likely
17,17,English,18–24,Yes,4,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
18,18,English,25–30,Yes,5,No pets,People I met on app,5.0,Yes,,,,,,,,,,,
19,19,English,25–30,Yes,2,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
20,20,English,31–37,No,,,,,,,,,,,,,,,,
21,21,English,18–24,Yes,4,Dogs,"Friends, Family",4.0,Yes,,,,,,,,,,,
22,22,English,25–30,Yes,3,No pets,"Friends, Family",2.0,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Likely,Very likely,Likely,Very likely,Likely
23,23,English,18–24,Yes,4,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
24,24,English,31–37,No,,,,,,,,,,,,,,,,
25,25,English,25–30,Yes,4,Dogs,"Friends, Family",3.0,No,We just remember,Never,Throwing the garbage,I buy my own stuff,Alone,No,,,,,
26,26,English,25–30,Yes,3,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,
27,27,English,25–30,Yes,2,Dogs,"Friends, Family",3.0,Yes,,,,,,,,,,,
28,28,English,18–24,Yes,4,Cats,"Friends, Family",4.0,Yes,,,,,,,,,,,
29,29,English,25–30,Yes,3,No pets,"Friends, Family",5.0,No,We don't schedule our tasks,Once a week,Cleaning kitchen,Split the cost,All together,No,,,,,
30,30,English,18–24,Yes,4,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Throwing the garbage",We don't really think about it,Alone,No,,,,,
31,31,English,25–30,Yes,2,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
32,32,English,31–37,Yes,2,No pets,Acquaintances,2.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning kitchen",Split the cost,Alone,No,,,,,
33,33,English,31–37,Yes,2,No pets,"Friends, Family",4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
34,34,English,18–24,No,,,,,,,,,,,,,,,,
35,35,English,18–24,No,,,,,,,,,,,,,,,,
36,36,English,25–30,Yes,3,No pets,"Friends, Family",3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Laundry, Buying common items",Split the cost,Alone,No,,,,,
37,37,English,31–37,Yes,4,No pets,People I met on app,4.0,Yes,,,,,,,,,,,
38,38,English,25–30,No,,,,,,,,,,,,,,,,
39,39,English,25–30,No,,,,,,,,,,,,,,,,
40,40,English,More than 37,Yes,3,No pets,"Friends, Family",3.0,No,Todoist,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Very likely,Very likely,Very likely,Very likely,Likely
41,41,English,25–30,Yes,3,No pets,"Friends, Family",4.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Buying common items",Split the cost,Alone,No,,,,,
42,42,English,18–24,Yes,2,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
43,43,English,31–37,Yes,3,No pets,"Friends, Family",5.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,No,,,,,
44,44,English,25–30,Yes,4,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning kitchen, Throwing the garbage, Buying common items",Buy it in turns,Alone,No,,,,,
45,45,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,No,,,,,
46,46,English,25–30,No,,,,,,,,,,,,,,,,
47,47,English,More than 37,No,,,,,,,,,,,,,,,,
48,48,English,More than 37,Yes,3,Cats,Acquaintances,4.0,Yes,,,,,,,,,,,
49,49,English,25–30,Yes,4,No pets,People I met on app,3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",Split the cost,Alone,Yes,Likely,Likely,Likely,Likely,Likely
50,50,English,31–37,No,,,,,,,,,,,,,,,,
51,51,English,31–37,No,,,,,,,,,,,,,,,,
52,52,English,31–37,Yes,4,Dogs,"Friends, Family",5.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Throwing the garbage, Buying common items",Split the cost,Alone,No,,,,,
53,53,English,More than 37,Yes,5,Dogs,"Friends, Family",5.0,No,We just remember,Once a week,Cleaning bathroom/toilets,Split the cost,Alone,No,,,,,
54,54,English,18–24,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
55,55,English,More than 37,Yes,3,No pets,People I met on app,2.0,Yes,,,,,,,,,,,
56,56,English,31–37,Yes,2,Dogs,"Friends, Family",4.0,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows",Split the cost,All together,No,,,,,
57,57,English,More than 37,No,,,,,,,,,,,,,,,,
58,58,English,31–37,Yes,2,Cats,"Friends, Family",4.0,No,We just remember,Once a month,"Throwing the garbage, Buying common items",Split the cost,All together,No,,,,,
59,59,English,31–37,Yes,2,No pets,Partner,4.0,No,We don't schedule our tasks,Once a week,"Cleaning bathroom/toilets, Cleaning kitchen, Throwing the garbage",Split the cost,Alone,No,,,,,
60,60,English,More than 37,No,,,,,,,,,,,,,,,,
61,61,English,31–37,Yes,2,No pets,"Friends, Family",5.0,No,We just remember,Never,"Cleaning living-room, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
62,62,English,31–37,Yes,3,No pets,Acquaintances,5.0,Yes,,,,,,,,,,,
63,63,English,More than 37,No,,,,,,,,,,,,,,,,
64,64,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
65,65,English,More than 37,Yes,2,Dogs,"Friends, Family",5.0,Yes,,,,,,,,,,,
